,gene_symbols
ENSG00000158022,TRIM63
ENSG00000103540,CCP110
ENSG00000165813,CCDC186
ENSG00000139970,RTN1
ENSG00000177105,RHOG
ENSG00000129810,SGO1
ENSG00000198467,TPM2
ENSG00000123975,CKS2
ENSG00000170540,ARL6IP1
ENSG00000167771,RCOR2
ENSG00000078687,TNRC6C
ENSG00000188321,ZNF559
ENSG00000151687,ANKAR
ENSG00000102265,TIMP1
ENSG00000075461,CACNG4
ENSG00000275835,TUBGCP5
ENSG00000101695,RNF125
ENSG00000164828,SUN1
ENSG00000147130,ZMYM3
ENSG00000163359,COL6A3
ENSG00000221866,PLXNA4
ENSG00000008517,IL32
ENSG00000125746,EML2
ENSG00000114770,ABCC5
ENSG00000115267,IFIH1
ENSG00000169019,COMMD8
ENSG00000100918,REC8
ENSG00000143443,C1orf56
ENSG00000178252,WDR6
ENSG00000013364,MVP
ENSG00000123700,KCNJ2
ENSG00000160179,ABCG1
ENSG00000178761,FAM219B
ENSG00000183111,ARHGEF37
ENSG00000205413,SAMD9
ENSG00000139626,ITGB7
ENSG00000128284,APOL3
ENSG00000166971,AKTIP
ENSG00000164305,CASP3
ENSG00000149308,NPAT
ENSG00000114127,XRN1
ENSG00000182022,CHST15
ENSG00000148908,RGS10
ENSG00000215910,C1orf167
ENSG00000166432,ZMAT1
ENSG00000111181,SLC6A12
ENSG00000169627,BOLA2B
ENSG00000185559,DLK1
ENSG00000183311,TUBB
ENSG00000128607,KLHDC10
ENSG00000188283,ZNF383
ENSG00000151014,NOCT
ENSG00000123989,CHPF
ENSG00000161896,IP6K3
ENSG00000091592,NLRP1
ENSG00000127472,PLA2G5
ENSG00000173530,TNFRSF10D
ENSG00000165410,CFL2
ENSG00000158859,ADAMTS4
ENSG00000197989,SNHG12
ENSG00000157227,MMP14
ENSG00000158560,DYNC1I1
ENSG00000104312,RIPK2
ENSG00000108773,KAT2A
ENSG00000088448,ANKRD10
ENSG00000006652,IFRD1
ENSG00000150938,CRIM1
ENSG00000119943,PYROXD2
ENSG00000161381,PLXDC1
ENSG00000173918,C1QTNF1
ENSG00000162645,GBP2
ENSG00000033867,SLC4A7
ENSG00000145284,SCD5
ENSG00000204397,CARD16
ENSG00000149591,TAGLN
ENSG00000018408,WWTR1
ENSG00000131089,ARHGEF9
ENSG00000040933,INPP4A
ENSG00000136383,ALPK3
ENSG00000165685,TMEM52B
ENSG00000010310,GIPR
ENSG00000184221,OLIG1
ENSG00000115756,HPCAL1
ENSG00000070214,SLC44A1
ENSG00000149262,INTS4
ENSG00000135974,C2orf49
ENSG00000111665,CDCA3
ENSG00000165795,NDRG2
ENSG00000038945,MSR1
ENSG00000168209,DDIT4
ENSG00000110042,DTX4
ENSG00000178209,PLEC
ENSG00000163661,PTX3
ENSG00000155158,TTC39B
ENSG00000108106,UBE2S
ENSG00000184903,IMMP2L
ENSG00000124942,AHNAK
ENSG00000213626,LBH
